          filename	output.txt	o2.txt	Aggregate_Mean	Aggregate_Std_dev	Aggregate_Median
   strict recall X	0.9621	0.9621	0.9621	0.0000	0.9621
  strict recall bn	0.6915	0.7473	0.7194	0.0279	0.7194
  strict recall en	0.6712	0.6748	0.6730	0.0018	0.6730
  strict recall gu	0.0000	0.0000	0.0000	0.0000	0.0000
  strict recall hi	0.4766	0.5187	0.4977	0.0210	0.4977
  strict recall kn	0.5205	0.5855	0.5530	0.0325	0.5530
  strict recall ml	0.7449	0.9310	0.8380	0.0931	0.8380
  strict recall mr	0.5545	0.8209	0.6877	0.1332	0.6877
  strict recall ta	0.7673	0.6626	0.7150	0.0524	0.7150
  strict recall te	0.6000	0.4062	0.5031	0.0969	0.5031
            tokens	11999.0000	11999.0000	11999.0000	0.0000	11999.0000
    tokensAccuracy	67.2723	67.6890	67.4806	0.2084	67.4806
     tokensCorrect	8072.0000	8122.0000	8097.0000	25.0000	8097.0000
        utterances	792.0000	792.0000	792.0000	0.0000	792.0000
utterancesAccuracy	17.0455	18.1818	17.6136	0.5682	17.6136
 utterancesCorrect	135.0000	144.0000	139.5000	4.5000	139.5000
 utterancesProblem	0.0000	0.0000	0.0000	0.0000	0.0000
